 Total Nb of available Diagnostics: ndiagt=   193
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTTTEND| 15 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
    99 |TOTSTEND| 15 |       |SMR     MR|g/kg/day        |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 15 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 15 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 15 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   103 |AB_gT   | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 15 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 15 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 15 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 15 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH | 15 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH | 15 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH | 15 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH | 15 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT| 15 |   118 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT| 15 |   117 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   119 |DFrE_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT| 15 |   121 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT| 15 |   120 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL| 15 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   124 |VISCAHZ | 15 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   125 |VISCA4Z | 15 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   126 |VISCAHD | 15 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   127 |VISCA4D | 15 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   128 |VISCAHW | 15 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   129 |VISCA4W | 15 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   130 |VAHZMAX | 15 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   131 |VA4ZMAX | 15 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   132 |VAHDMAX | 15 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   133 |VA4DMAX | 15 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   134 |VAHZMIN | 15 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMIN | 15 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMIN | 15 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMIN | 15 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZLTH | 15 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZLTH | 15 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDLTH | 15 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DLTH | 15 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTHD| 15 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTHD| 15 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTHD| 15 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTHD| 15 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZSMAG| 15 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZSMAG| 15 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   148 |VAHDSMAG| 15 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DSMAG| 15 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   150 |momKE   | 15 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   151 |momHDiv | 15 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   152 |momVort3| 15 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   153 |Strain  | 15 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   154 |Tension | 15 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   155 |Stretch | 15 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   156 |USidDrag| 15 |   157 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   157 |VSidDrag| 15 |   156 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   158 |Um_Diss | 15 |   159 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   159 |Vm_Diss | 15 |   158 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   160 |Um_ImplD| 15 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   161 |Vm_ImplD| 15 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   162 |Um_Advec| 15 |   163 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   163 |Vm_Advec| 15 |   162 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   164 |Um_Cori | 15 |   165 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   165 |Vm_Cori | 15 |   164 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   166 |Um_dPhiX| 15 |   167 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   167 |Vm_dPhiY| 15 |   166 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   168 |Um_Ext  | 15 |   169 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   169 |Vm_Ext  | 15 |   168 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   170 |Um_hDis2| 15 |   171 |UUR     MR|m/s^2           |U momentum tendency from harmonic visc alone
   171 |Vm_hDis2| 15 |   170 |VVR     MR|m/s^2           |V momentum tendency from harmonic visc alone
   172 |Um_hDis4| 15 |   173 |UUR     MR|m/s^2           |U momentum tendency from biharmonic visc alone
   173 |Vm_hDis4| 15 |   172 |VVR     MR|m/s^2           |V momentum tendency from biharmonic visc alone
   174 |Um_AdvZ3| 15 |   175 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   175 |Vm_AdvZ3| 15 |   174 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   176 |Um_AdvRe| 15 |   177 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   177 |Vm_AdvRe| 15 |   176 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   178 |botTauX |  1 |   179 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   179 |botTauY |  1 |   178 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   180 |ADVx_Um | 15 |   181 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   181 |ADVy_Um | 15 |   180 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   182 |ADVrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   183 |ADVx_Vm | 15 |   184 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   184 |ADVy_Vm | 15 |   183 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   185 |ADVrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   186 |VISCx_Um| 15 |   187 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   187 |VISCy_Um| 15 |   186 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   188 |VISrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   189 |VISrI_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   190 |VISCx_Vm| 15 |   191 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   191 |VISCy_Vm| 15 |   190 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   192 |VISrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   193 |VISrI_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
